주소,위도,경도
강원 속초시 동해대로 4446 ,38.21104529999999,128.564522
강원 속초시 동해대로 3885 ,38.1815364,128.6011169
강원도 속초시  관광로 486 ,38.2026031,128.5339363
강원 양구군 국토정중앙면 춘양로 3592,38.1266922,128.046404
강원 양구군 국토정중앙면 정중앙로 352,38.08809129999999,128.024812
강원도 양구군 양구읍 중심로 165 ,38.1052331,127.9905017
강원 양구군 양구읍 중심로 7,38.0916861,127.9959848
강원 양구군 해안면 해안서화로 22-4,38.2894394,128.1427594
강원 양구군 동면 금강산로 1696,38.2023743,128.0449094
강원 양구군 양구읍 춘양로 2641,38.0643962,127.9869639
강원 양구군 국토정중앙면 정중앙로 584-1,38.1061663,128.0313542
강원 양구군 방산면 평화로 5181,38.2080172,127.9509229
강원 양구군 양구읍 양구새싹로 12,38.10174050000001,127.9867098
강원 양양군 강현면 동해대로 3081,38.117119,128.6286111
강원 양양군 양양읍 동해대로 2643,38.0804872,128.6282461
강원 양양군 손양면 동해대로 1750,38.0377393,128.6958827
강원 양양군 강현면 동해대로 3343,38.1366621,128.6168695
강원 양양군 강현면 동해대로 3415,38.142196,128.6123631
강원 양양군 현남면 동해대로 376,37.94269630000001,128.7828049
강원도 양양군 현북면 동해대로 1252,38.0045675,128.7319908
강원 양양군 서면 구룡령로 2948,37.9612452,128.525577
강원 양양군 현남면 동해대로 603,37.9588515,128.7665919
강원 양양군 손양면 동해대로 2519,38.07192939999999,128.63567
강원 양양군 손양면 동해대로 2041,38.0428043,128.6673451
강원 양양군 양양읍 설악로 2728,38.0758377,128.5005763
강원 양양군 양양읍 동해대로 2662,38.08161680000001,128.6298037
강원 양양군 양양읍 동해대로 3039,38.1136542,128.6307287
강원 양양군 양양읍 양양로 98,38.0739728,128.618629
강원 양양군 손양면 동해대로 2181,38.0472995,128.652873
강원 양양군 현남면 화상천로 5-4,37.92858349999999,128.7914959
강원 양양군 양양읍 동해대로 2853,38.0989463,128.6289423
강원 영월군 김삿갓면 영월동로 1139,37.1288152,128.5367874
강원 영월군 영월읍 영월로 2153,37.1850793,128.4850458
강원 영월군 영월읍 청령포로 6,37.1851613,128.4574144
강원 영월군 주천면 송학주천로 1002,37.2422214,128.2448475
강원 영월군 김삿갓면 영월동로 2150,37.1213553,128.6109676
강원 영월군 중동면 태백산로 1308,37.1390426,128.6888658
강원 영월군 한반도면 강원남로 140,37.1797452,128.3107208
강원 영월군 북면 원동재로 513,37.2521703,128.4302405
강원 영월군 중동면 영월로 3730,37.1965424,128.6058236
강원 영월군 한반도면 서강로 781,37.236355,128.3315384
강원 영월군 한반도면 강원남로 153,37.1802291,128.3120968
강원 영월군 영월읍 영월로 2275,37.18284939999999,128.4975598
강원 영월군 영월읍 영월로 3206-8,37.190673,128.5686377
강원 영월군 영월읍 하송로 156,37.1760685,128.4563585
강원 영월군 영월읍 영월로 1850,37.1861408,128.4569416
강원 영월군 한반도면 강원남로 267,37.1737721,128.3216861
강원 영월군 북면 원동재로 98,37.2199066,128.4194564
강원 영월군 상동읍 태백산로 3234,37.129239,128.8305108
강원 영월군 주천면 송학주천로 1462,37.2674664,128.2804597
강원 영월군 한반도면 강원남로 130,37.1798185,128.3092255
강원 영월군 남면 강원남로 641,37.1771249,128.3552327
강원 영월군 남면 영월로 971,37.19886,128.4031017
강원 영월군 주천면 송학주천로 1367,37.2658381,128.2668895
강원 영월군 영월읍 중앙로 254,37.1696876,128.4785234
강원 영월군 상동읍 태백산로 2317-1,37.1209623,128.7452238
강원도 원주시 문막읍 원문로 1468 ,37.3247788,127.8412813
강원 원주시 문막읍 원문로 1449,37.3249593,127.8434779
강원 원주시 북원로 2664 ,37.381307,127.9470842
강원 원주시 치악로 1733 ,37.33706550000001,127.9560251
강원 원주시 문막읍 원문로 1342,37.330694,127.8491014
강원 원주시 귀래면 고청길 70,37.2279009,127.8679322
강원 원주시 신림면 신림황둔로 833,37.248921,128.1547687
강원 원주시 북원로 2563,37.373147,127.9422349
강원 원주시 문막읍 왕건로 161,37.3335156,127.8340196
강원도 원주시  서원대로 51 ,37.3523127,127.92331
강원 원주시 흥업면 원문로 898,37.3434879,127.8824656
강원 원주시 북원로 2151,37.3380985,127.9304006
강원 원주시 호저면 원문로 545,37.35844,127.9034008
강원 원주시 소초면 북원로 3064,37.4147724,127.9623344
강원 원주시 북원로 2509 ,37.3683829,127.9404513
강원 원주시 북원로 2732 ,37.3872801,127.9485978
강원 원주시 문막읍 원문로 1734-18,37.314843,127.8233557
강원 원주시 문막읍 원문로 1640,37.3183356,127.8300641
강원 원주시 호저면 원문로 402,37.3617075,127.9139723
강원 원주시 판부면 용수골길 230,37.2926721,127.9394474
